contig,element,orientation,start,end,hit_count,coverage_ratio,std_dev
chrY,DYZ1_Yq,-,49125558,49782690,190,0.9974114829113742,4.060087308164371
chrY,DYZ2_Yq,+,49782636,50180943,86,0.0,118721.32603219569
chrY,DYZ1_Yq,-,50200157,50581033,108,1.0,6.446796443421765
chrY,DYZ2_Yq,+,50580983,50737383,37,0.0,54178.45255956679
chrY,DYZ1_Yq,-,50768547,51404469,183,1.0,4.06326389899312
chrY,DYZ2_Yq,+,51404419,51909326,110,0.0,159668.70758958536
chrY,DYZ1_Yq,-,51918719,52176121,77,0.9976185203746654,4.145300713523708
chrY,DYZ2_Yq,+,52176068,52661288,58,0.0,151187.23057833032
chrY,DYZ1_Yq,-,52666975,53894837,359,0.9943479036342002,5.308706801437003
chrY,DYZ2_Yq,+,53894783,54165758,78,0.0,81400.94767225982
chrY,DYZ1_Yq,-,54165711,54464925,85,1.0,5.748249758269616
chrY,DYZ2_Yq,+,54464875,54618868,40,0.0,52370.6290695215
chrY,DYZ1_Yq,-,54647612,55216738,164,1.0,3.9870787575720636
chrY,DYZ2_Yq,+,55216688,56037436,179,0.0,260953.73204521646
chrY,DYZ1_Yq,-,56037388,56278319,71,0.9978790696130029,3.8740634154513764
chrY,DYZ2_Yq,+,56278266,56631331,53,0.0,114872.07285459923
chrY,DYZ1_Yq,-,56631285,56950406,94,0.9971045556244947,5.307864961958601
chrY,DYZ2_Yq,+,56952277,57165056,63,0.0,68929.44873667219
chrY,DYZ1_Yq,-,57179285,57726041,158,0.9981399415096651,5.033604466171628
chrY,DYZ2_Yq,+,57725988,58250671,139,0.0,154117.85569431583
chrY,DYZ1_Yq,-,58250624,58806932,159,0.9989610090794864,3.7174695957709583
chrY,DYZ2_Yq,+,58806880,59396219,71,0.0,188164.9586699866
chrY,DYZ1_Yq,-,59406671,59577325,51,0.9901965954703935,6.330876716537767
chrY,DYZ2_Yq,+,59579197,59732507,35,0.0,47173.29169827476
chrY,DYZ1_Yq,-,59732461,60042625,96,0.9943739622459014,7.213514555594057
chrY,DYZ2_Yq,+,60042573,60503563,53,0.0,140796.97579205138
chrY,DYZ1_Yq,-,60504440,60618150,35,0.9898866424532368,8.413050086901057
chrY,DYZ2_Yq,+,60620028,60905244,55,0.0,91509.6219311059
chrY,DYZ1_Yq,-,60926735,61495436,166,0.9972533945722013,4.847613558076605
chrY,DYZ2_Yq,+,61495384,61911331,97,0.0,118962.92250390102
chrY,DYZ1_Yq,-,61911282,62499762,168,0.9991877392813022,3.8549389541756636
chrY,DYZ2_Yq,+,62499710,62511021,6,0.9880657708628006,6.8
chrY,DYZ1_Yq,-,62515755,62738862,67,0.9910267673055202,7.866774057258302
chrY,DYZ2_Yq,+,62738809,63282772,135,0.0,156502.48816304663
chrY,DYZ1_Yq,-,63282726,64290256,287,0.9988506557118342,2.7588121628439546
chrY,DYZ2_Yq,+,64290204,64919079,67,0.0,218315.6143753348
chrY,DYZ1_Yq,-,64919034,65207710,88,0.9933662882737454,5.942717709705662
chrY,DYZ2_Yq,+,65216827,65359518,33,0.0,36332.72937073877
chrY,DYZ1_Yq,-,65367647,65650780,87,0.995034153439714,5.764299594114493
chrY,DYZ2_Yq,+,65652652,66618724,233,0.0,287994.0763354128
chrY,DYZ1_Yq,-,66630532,67013187,112,0.9943082037129954,5.525512468975305
chrY,DYZ2_Yq,PossibleInversion,67014776,67125294,41,0.0,32129.44929153782
chrY,DYZ1_Yq,+,67125242,67381449,76,0.9985909885717854,4.384092456445993
chrY,DYZ2_Yq,-,67398088,67412603,6,0.9975888674565996,0.0
chrY,DYZ1_Yq,-,67454515,68047928,170,0.0,176946.05858624986
chrY,DYZ2_Yq,+,68051896,68068616,7,0.9974881885054722,0.0
